Control area,Primary evidence,EU AI Act,ISO/IEC 42001,ISO/IEC 27001,NIST AI RMF,Implementation note
AI system inventory,AI register / system catalogue,Strong relevance,Strong relevance,Supporting,Strong relevance,"Record purpose owner supplier users data model role and status"
Roles and accountability,RACI / owner register,Explicit value-chain roles,Core management-system need,Core governance need,GOVERN,"Name business technical security privacy and approval owners"
Risk classification,Classification record / rationale,Core legal requirement in relevant scope,Core risk process,Supporting security classification,MAP,"Separate legal risk category from internal business risk tier"
AI risk assessment,AI risk register / assessment,Required in relevant contexts,Core,Security-focused,MAP + MEASURE,"Assess likelihood impact affected people and control strength"
Human oversight,Oversight design / escalation plan,Specific duties for relevant systems,Strong relevance,Supporting,MANAGE,"Define who reviews when they intervene and what authority they have"
Data governance,Data map / quality controls,Strong relevance for relevant systems,Strong relevance,Strong security relevance,MAP + MEASURE,"Document sources quality provenance access retention and change"
Information security,Security architecture / risk treatment,Strong relevance in high-risk and GPAI contexts,Integrated AI risk area,Primary focus,MEASURE + MANAGE,"Identity access encryption logging resilience and incident controls"
Supplier risk,Vendor assessment / contract,Value-chain responsibilities,Strong relevance,Strong relevance,MAP + GOVERN,"Review data use subprocessors model changes security and exit"
Transparency,Disclosure and provenance evidence,Article 50 and other relevant duties,Strong relevance,Supporting,Governance relevance,"Map human disclosure and machine-readable marking separately"
Logging and traceability,Audit logs / telemetry,Specific relevance for regulated systems,Strong relevance,Strong relevance,MEASURE,"Log enough to reconstruct material decisions actions and changes"
Testing and evaluation,Evaluation plan / results,Relevant for regulated system requirements,Strong relevance,Supporting,MEASURE,"Test accuracy robustness security misuse and refusal behavior"
Incident management,AI incident procedure / evidence,Reporting and governance duties in relevant contexts,Strong relevance,Primary control area,MANAGE,"Connect AI events to existing security privacy safety and legal response"
Change management,Model and configuration change log,Important to ongoing conformity and role changes,Core continual-improvement relevance,Primary control area,GOVERN + MANAGE,"Reassess material model data purpose tool or workflow changes"
AI literacy,Role-based training evidence,Legal relevance under AI Act,Strong relevance,Security-awareness relevance,GOVERN,"Train by role and test practical decision capability"
Management review,Metrics / review minutes,Governance evidence,Core,Core,GOVERN,"Review risk exceptions incidents performance and improvement actions"
Continual improvement,Corrective action / improvement backlog,Supports ongoing compliance,Core,Core,MANAGE,"Track findings owners dates and verification of closure"
